0.0111535 4.6e-08 0.126255 2.535e-06 4.186e-06 0.126257

0.0111535 4.6e-08 0.249372 1.712e-06 2.497e-05 0.249374

0.0111535 4.6e-08 0.375185 1.693e-06 2.5584e-05 0.375187

0.0111535 4.6e-08 0.498605 2.548e-06 1.0019e-05 0.498607

0.0111535 4.6e-08 0.630662 2.278e-06 9.973e-06 0.630664

0.0111535 4.6e-08 1.27247 3.855e-06 1.6726e-05 1.27247

0.0111535 4.6e-08 1.89862 6.039e-06 3.2931e-05 1.89863

0.0111535 4.6e-08 2.52237 7.972e-06 2.9203e-05 2.52238

0.0111535 4.6e-08 3.13798 3.0804e-05 3.8749e-05 3.13801

0.0111535 4.6e-08 3.78529 3.0877e-05 5.0581e-05 3.78533

0.0111535 4.6e-08 4.39333 3.3951e-05 0.000119034 4.39337

0.0111535 4.6e-08 4.98349 3.8769e-05 7.6965e-05 4.98353

0.0111535 4.6e-08 6.28407 4.4839e-05 0.000121234 6.28412

0.0111535 4.6e-08 7.51309 7.4671e-05 0.00031531 7.51316

