11	5	14	10	16	15	2	21	7	28	13	5	6	5	14	3	3	2	29	13	25	24	21	2	11	7	14	1	0	6	5	28	9	4	14	25	7	7	27	7
21	27	25	0	24	2	13	1	24	3	18	24	23	9	4	9	8	14	24	2	18	2	2	11	1	10	16	11	0	19	15	26	12	11	2	10	27	2	1	16
0	1	28	29	28	24	25	24	27	14	0	26	28	9	29	1	15	27	17	29	1	10	27	7	11	6	15	13	2	8	15	10	0	0	22	25	1	20	24	4
12	7	6	7	23	30	25	20	0	3	10	17	12	0	11	9	24	30	21	11	23	7	24	18	20	1	1	23	20	18	17	17	8	15	19	10	22	28	6	7
21	11	25	1	12	9	20	19	17	6	11	5	2	29	0	8	0	17	6	14	27	1	23	11	2	27	0	3	17	27	4	14	14	19	2	4	18	14	2	30
22	20	5	30	20	23	15	27	16	22	18	3	0	25	27	7	0	20	22	23	9	27	28	21	0	29	2	2	25	12	26	5	10	11	28	0	27	8	8	16
8	27	1	23	5	10	6	28	0	19	28	17	1	30	20	23	21	17	29	15	3	18	27	2	5	1	30	18	5	8	13	12	26	1	16	21	24	4	21	5
28	7	11	18	0	5	26	4	22	14	17	28	26	10	25	0	8	27	24	17	26	29	4	1	22	1	20	20	29	0	6	0	1	28	17	19	2	22	16	12
2	18	1	28	18	10	19	8	14	19	13	0	29	11	4	29	25	7	11	18	20	24	30	19	10	21	24	26	9	2	25	29	22	14	27	30	30	12	7	16
7	15	4	8	20	21	5	7	29	18	17	24	6	8	21	9	20	28	13	17	3	28	26	15	12	25	10	19	16	20	6	27	21	1	12	27	0	19	10	20
29	10	12	5	18	9	14	28	6	21	2	9	19	10	3	14	4	12	1	12	12	12	28	5	3	25	3	15	13	8	25	23	30	24	20	4	5	22	2	13
17	10	22	20	2	16	9	16	17	25	28	6	3	5	16	0	7	1	20	2	3	21	19	0	11	14	17	5	29	27	11	6	20	14	0	20	4	18	21	19
3	12	3	13	30	21	14	17	28	30	8	1	3	4	26	7	30	15	23	7	12	22	19	0	9	8	24	6	0	12	9	9	6	20	19	27	14	30	4	26
3	16	7	30	22	2	15	13	19	2	2	4	28	4	13	1	1	5	21	2	9	22	13	23	17	3	1	29	3	12	19	20	3	18	20	12	28	18	12	25
17	11	27	27	8	15	29	21	28	7	23	21	26	2	5	26	16	15	5	30	30	8	9	3	10	19	8	21	16	15	0	17	7	19	20	13	21	20	2	7
25	20	8	1	21	23	21	15	18	11	2	3	30	24	15	4	30	28	12	3	0	2	9	21	27	29	14	7	18	1	29	17	30	6	15	1	19	0	9	29
3	11	13	14	12	25	10	24	19	18	30	1	14	2	5	25	6	6	5	13	11	26	5	17	5	12	12	3	29	21	16	23	3	2	23	24	14	16	25	21
6	5	25	29	23	11	4	26	6	26	29	7	30	6	23	16	29	22	7	2	29	29	25	6	30	30	13	2	25	10	22	2	13	29	17	28	25	26	1	0
16	6	0	13	22	16	16	15	8	14	13	19	22	12	4	19	28	17	6	25	14	29	3	13	24	18	21	5	18	3	20	2	18	15	19	2	18	16	18	17
23	26	0	27	7	20	0	1	7	23	23	19	29	26	4	26	8	26	28	15	0	26	22	11	23	2	7	16	12	13	22	8	30	2	18	15	17	2	23	24
27	24	23	10	19	15	17	16	5	0	9	17	15	22	15	21	9	24	16	16	27	20	10	5	1	13	22	9	1	7	24	16	30	26	17	5	24	5	4	22
21	22	1	24	15	4	20	22	4	15	0	11	22	2	14	20	21	25	21	17	28	4	26	11	9	29	20	6	15	29	15	8	10	26	23	11	4	28	8	4
8	21	3	18	15	8	0	14	9	11	28	5	13	25	0	8	18	28	12	20	6	15	11	11	1	18	9	7	19	16	14	24	17	11	26	24	1	28	28	11
29	6	5	11	0	2	13	25	28	12	9	8	4	5	10	24	9	1	11	26	2	26	23	19	19	6	18	20	6	8	6	18	13	14	8	1	26	26	8	5
15	24	28	23	1	10	20	19	6	14	13	16	2	27	1	17	14	28	19	26	28	24	23	0	25	13	18	2	30	8	26	3	16	20	23	9	2	2	4	18
21	10	12	10	10	8	17	8	18	27	16	0	24	12	18	1	29	4	20	26	26	27	19	8	26	14	2	7	17	24	2	13	28	30	19	3	4	15	2	9
0	5	2	5	25	14	16	22	19	29	10	27	20	23	4	25	23	5	23	2	28	28	15	27	10	8	20	8	22	24	6	3	3	7	6	9	29	29	23	17
28	17	21	16	24	12	6	9	24	9	15	18	29	17	7	2	20	24	4	12	13	22	3	16	22	26	30	13	9	13	24	19	19	19	2	11	17	16	13	29
1	13	13	17	24	7	4	25	4	3	16	11	22	9	4	29	21	4	16	14	6	28	0	20	29	0	4	26	10	1	19	16	23	20	25	29	13	11	12	5
19	6	2	15	18	4	16	15	27	17	27	6	27	15	6	25	30	28	13	20	24	12	13	8	4	1	1	8	12	13	12	19	13	14	11	3	12	27	0	6
10	9	16	13	3	23	1	2	29	13	30	3	20	5	25	8	9	18	20	18	11	16	21	9	11	16	18	29	4	24	26	10	18	18	6	12	0	22	3	24
23	4	20	25	9	28	28	19	12	3	25	1	26	11	0	5	19	25	7	17	8	11	23	6	28	11	27	3	0	29	23	22	16	3	4	2	18	8	11	3
14	15	9	18	9	20	24	26	22	25	22	3	24	23	16	19	23	1	29	11	16	5	14	29	27	24	20	26	16	3	27	13	10	24	13	10	7	0	13	15
17	6	3	10	15	11	30	5	0	3	21	3	8	3	17	17	0	27	14	6	12	28	30	17	30	21	1	19	24	17	19	21	30	3	25	0	26	1	10	30
8	21	24	27	3	29	21	1	5	29	7	25	10	27	4	21	8	26	11	6	24	20	18	8	18	27	25	13	4	4	21	25	4	23	25	26	26	2	10	30
20	28	20	7	8	30	10	3	29	9	27	0	17	24	2	29	24	29	1	11	6	3	10	2	16	26	7	5	20	22	23	26	25	26	9	18	9	17	2	18
28	11	9	13	14	25	2	21	11	18	9	21	17	1	29	14	22	24	20	16	16	11	11	21	6	22	19	3	16	7	27	2	12	16	29	19	16	27	10	5
17	2	8	7	30	1	12	27	17	11	25	12	16	22	23	27	4	3	19	25	6	11	13	12	6	7	1	24	16	5	1	30	23	4	16	25	8	13	4	8
23	9	19	23	23	26	27	25	26	4	12	14	10	2	13	18	4	8	6	24	17	30	5	15	26	26	24	20	16	3	28	0	11	23	22	0	18	15	28	12
1	13	24	21	20	11	30	20	2	29	1	5	17	9	1	2	22	24	3	11	5	17	7	8	29	15	28	6	18	17	0	5	12	18	30	21	3	5	4	6
